legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.005126953125989746,500.0,500.0,500.0,500.0,500.0,500.0,500.0,425.0,310.0,185.0,125.0,95.0,70.0,55.0,50.0,40.0
max_sprt | alpha=0.03130413818359375,500.0,500.0,500.0,500.0,500.0,500.0,500.0,465.0,330.0,195.0,130.0,90.0,70.0,55.0,45.0,35.0
bravo    | p=0.7 | alpha=0.08258337402343749,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,150.0,85.0,60.0,45.0,35.0,30.0
bravo    | p=0.55 | alpha=0.09660742187499999,500.0,500.0,500.0,500.0,500.0,500.0,500.0,360.0,280.0,190.0,145.0,120.0,100.0,85.0,80.0,65.0
clip     | alpha=0.06935198974609375,500.0,500.0,500.0,500.0,500.0,500.0,500.0,445.0,315.0,185.0,120.0,90.0,65.0,50.0,45.0,35.0
bravo_without_replacement | p=0.7 | alpha=0.0818516845703125,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,150.0,85.0,60.0,45.0,35.0,30.0
bravo_without_replacement | p=0.55 | alpha=0.08294921875,500.0,500.0,500.0,500.0,500.0,500.0,490.0,355.0,280.0,200.0,150.0,125.0,105.0,90.0,80.0,70.0
truncated_bayesian | a=1 | b=1 | critical_value=0.08716733154296877,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,435.0,230.0,140.0,95.0,75.0,55.0,45.0,30.0
bayesian_with_replacement | a=1 | b=1 | critical_value=1e-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
