legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.005126953125989746,15.0,20.0,35.0,55.0,70.0,95.0,110.0,120.0,110.0,90.0,65.0,55.0,40.0,35.0,25.0,20.0
max_sprt | alpha=0.03130413818359375,5.0,5.0,5.0,5.0,10.0,25.0,70.0,80.0,90.0,75.0,65.0,45.0,30.0,25.0,20.0,15.0
bravo    | p=0.7 | alpha=0.08258337402343749,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,25.0,30.0,35.0,35.0,30.0,25.0,15.0,15.0
bravo    | p=0.55 | alpha=0.09660742187499999,105.0,135.0,165.0,175.0,185.0,185.0,180.0,170.0,160.0,130.0,105.0,90.0,80.0,65.0,60.0,55.0
clip     | alpha=0.06935198974609375,20.0,20.0,30.0,35.0,55.0,75.0,95.0,100.0,100.0,85.0,60.0,50.0,35.0,30.0,25.0,20.0
bravo_without_replacement | p=0.7 | alpha=0.0818516845703125,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,25.0,30.0,35.0,35.0,30.0,25.0,15.0,15.0
bravo_without_replacement | p=0.55 | alpha=0.08294921875,110.0,150.0,180.0,190.0,200.0,200.0,190.0,180.0,165.0,135.0,110.0,95.0,80.0,70.0,65.0,60.0
truncated_bayesian | a=1 | b=1 | critical_value=0.08716733154296877,5.0,5.0,5.0,5.0,5.0,10.0,25.0,50.0,70.0,80.0,60.0,40.0,30.0,25.0,20.0,15.0
bayesian_with_replacement | a=1 | b=1 | critical_value=1e-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
